DATE,RHORUSQ156N
01-01-1987,63.975
01-01-1988,63.8
01-01-1989,63.9
01-01-1990,63.95
01-01-1991,64.05
01-01-1992,64.15
01-01-1993,64.475
01-01-1994,63.975
01-01-1995,64.75
01-01-1996,65.375
01-01-1997,65.7
01-01-1998,66.275
01-01-1999,66.8
01-01-2000,67.375
01-01-2001,67.825
01-01-2002,67.925
01-01-2003,68.25
01-01-2004,69
01-01-2005,68.875
01-01-2006,68.775
01-01-2007,68.15
01-01-2008,67.825
01-01-2009,67.375
01-01-2010,66.85
01-01-2011,66.15
01-01-2012,65.45
01-01-2013,65.125
01-01-2014,64.475
01-01-2015,63.65
01-01-2016,63.4
01-01-2017,63.85
01-01-2018,64.425
01-01-2019,64.55
01-01-2020,66.6
01-01-2021,65.475
01-01-2022,65.775
