DATE,TTLHHM156N
01-01-1987,89997
01-02-1987,90123
01-03-1987,89962
01-04-1987,90060
01-05-1987,90331
01-06-1987,90355
01-07-1987,90537
01-08-1987,90533
01-09-1987,90802
01-10-1987,90945
01-11-1987,91175
01-12-1987,91379
01-01-1988,91601
01-02-1988,91656
01-03-1988,91545
01-04-1988,91713
01-05-1988,91917
01-06-1988,92036
01-07-1988,92188
01-08-1988,92245
01-09-1988,92372
01-10-1988,92270
01-11-1988,92416
01-12-1988,92277
01-01-1989,92699
01-02-1989,93102
01-03-1989,93322
01-04-1989,93465
01-05-1989,93304
01-06-1989,93223
01-07-1989,93539
01-08-1989,93720
01-09-1989,94029
01-10-1989,93737
01-11-1989,93613
01-12-1989,93489
01-01-1990,93477
01-02-1990,93733
01-03-1990,93927
01-04-1990,94076
01-05-1990,94063
01-06-1990,94465
01-07-1990,94491
01-08-1990,94705
01-09-1990,94591
01-10-1990,94383
01-11-1990,94371
01-12-1990,94400
01-01-1991,94863
01-02-1991,95095
01-03-1991,94987
01-04-1991,95102
01-05-1991,95121
01-06-1991,95371
01-07-1991,95288
01-08-1991,95508
01-09-1991,95568
01-10-1991,95347
01-11-1991,95368
01-12-1991,95411
01-01-1992,95776
01-02-1992,95888
01-03-1992,95984
01-04-1992,96309
01-05-1992,96456
01-06-1992,96586
01-07-1992,96426
01-08-1992,96383
01-09-1992,96469
01-10-1992,96674
01-11-1992,96766
01-12-1992,96665
01-01-1993,97001
01-02-1993,97063
01-03-1993,97090
01-04-1993,97142
01-05-1993,97195
01-06-1993,97409
01-07-1993,97703
01-08-1993,98203
01-09-1993,98359
01-10-1993,98472
01-11-1993,98579
01-12-1993,98395
01-01-1994,97962
01-02-1994,98033
01-03-1994,97950
01-04-1994,98142
01-05-1994,98214
01-06-1994,98446
01-07-1994,98508
01-08-1994,98956
01-09-1994,99316
01-10-1994,99432
01-11-1994,99708
01-12-1994,99640
01-01-1995,99889
01-02-1995,99652
01-03-1995,99776
01-04-1995,99743
01-05-1995,100013
01-06-1995,100041
01-07-1995,99910
01-08-1995,99910
01-09-1995,99802
01-10-1995,100363
01-11-1995,100308
01-12-1995,100417
01-01-1996,100415
01-02-1996,100417
01-03-1996,100585
01-04-1996,100826
01-05-1996,101157
01-06-1996,101264
01-07-1996,101153
01-08-1996,101076
01-09-1996,101131
01-10-1996,101230
01-11-1996,101201
01-12-1996,101361
01-01-1997,101374
01-02-1997,101825
01-03-1997,101905
01-04-1997,101886
01-05-1997,102090
01-06-1997,102162
01-07-1997,102249
01-08-1997,102371
01-09-1997,102680
01-10-1997,102742
01-11-1997,102739
01-12-1997,102392
01-01-1998,102875
01-02-1998,103014
01-03-1998,103370
01-04-1998,103530
01-05-1998,103417
01-06-1998,103617
01-07-1998,103396
01-08-1998,103346
01-09-1998,103735
01-10-1998,103910
01-11-1998,104022
01-12-1998,104175
01-01-1999,104285
01-02-1999,104436
01-03-1999,104661
01-04-1999,104522
01-05-1999,104855
01-06-1999,105070
01-07-1999,105016
01-08-1999,105166
01-09-1999,105239
01-10-1999,105335
01-11-1999,105309
01-12-1999,105214
01-01-2000,105106
01-02-2000,105507
01-03-2000,105267
01-04-2000,105224
01-05-2000,105353
01-06-2000,105312
01-07-2000,105693
01-08-2000,105647
01-09-2000,106061
01-10-2000,106360
01-11-2000,106364
01-12-2000,106754
01-01-2001,106685
01-02-2001,106829
01-03-2001,106866
01-04-2001,106753
01-05-2001,106807
01-06-2001,106736
01-07-2001,106685
01-08-2001,106766
01-09-2001,107089
01-10-2001,107432
01-11-2001,107669
01-12-2001,107798
01-01-2002,104481
01-02-2002,104385
01-03-2002,104396
01-04-2002,104718
01-05-2002,105092
01-06-2002,105023
01-07-2002,105100
01-08-2002,105128
01-09-2002,105244
01-10-2002,105337
01-11-2002,105296
01-12-2002,105387
01-01-2003,105513
01-02-2003,105432
01-03-2003,105277
01-04-2003,105470
01-05-2003,105507
01-06-2003,105449
01-07-2003,105314
01-08-2003,105470
01-09-2003,105713
01-10-2003,105750
01-11-2003,105810
01-12-2003,106014
01-01-2004,105803
01-02-2004,106006
01-03-2004,105802
01-04-2004,105939
01-05-2004,106208
01-06-2004,106051
01-07-2004,106379
01-08-2004,107026
01-09-2004,107205
01-10-2004,107511
01-11-2004,107636
01-12-2004,107490
01-01-2005,107776
01-02-2005,108070
01-03-2005,107420
01-04-2005,107560
01-05-2005,107872
01-06-2005,108117
01-07-2005,108330
01-08-2005,108448
01-09-2005,108517
01-10-2005,108636
01-11-2005,108857
01-12-2005,109171
01-01-2006,109402
01-02-2006,109368
01-03-2006,109098
01-04-2006,109353
01-05-2006,109623
01-06-2006,109373
01-07-2006,109504
01-08-2006,109611
01-09-2006,109773
01-10-2006,110020
01-11-2006,109937
01-12-2006,109838
01-01-2007,109807
01-02-2007,109700
01-03-2007,109606
01-04-2007,110197
01-05-2007,110541
01-06-2007,110284
01-07-2007,110195
01-08-2007,110276
01-09-2007,110425
01-10-2007,110739
01-11-2007,110875
01-12-2007,111021
01-01-2008,110924
01-02-2008,110868
01-03-2008,110680
01-04-2008,111115
01-05-2008,111150
01-06-2008,111420
01-07-2008,111572
01-08-2008,111724
01-09-2008,111893
01-10-2008,112073
01-11-2008,111792
01-12-2008,111696
01-01-2009,111079
01-02-2009,111413
01-03-2009,111612
01-04-2009,112106
01-05-2009,111950
01-06-2009,112302
01-07-2009,111298
01-08-2009,111427
01-09-2009,111651
01-10-2009,111698
01-11-2009,111797
01-12-2009,111636
01-01-2010,111686
01-02-2010,111881
01-03-2010,111983
01-04-2010,112126
01-05-2010,112299
01-06-2010,112220
01-07-2010,111612
01-08-2010,111604
01-09-2010,112527
01-10-2010,112516
01-11-2010,112403
01-12-2010,112434
01-01-2011,112327
01-02-2011,112219
01-03-2011,111946
01-04-2011,112382
01-05-2011,112573
01-06-2011,112464
01-07-2011,113269
01-08-2011,113529
01-09-2011,113850
01-10-2011,114133
01-11-2011,114067
01-12-2011,114058
01-01-2012,114260
01-02-2012,114167
01-03-2012,113940
01-04-2012,114055
01-05-2012,114217
01-06-2012,114328
01-07-2012,114448
01-08-2012,114720
01-09-2012,114916
01-10-2012,115116
01-11-2012,114953
01-12-2012,115031
01-01-2013,114786
01-02-2013,114714
01-03-2013,114430
01-04-2013,114372
01-05-2013,114998
01-06-2013,114663
01-07-2013,114490
01-08-2013,114799
01-09-2013,115013
01-10-2013,115006
01-11-2013,115056
01-12-2013,114826
01-01-2014,114764
01-02-2014,114728
01-03-2014,114627
01-04-2014,115011
01-05-2014,115272
01-06-2014,115097
01-07-2014,115050
01-08-2014,115048
01-09-2014,115831
01-10-2014,116441
01-11-2014,116674
01-12-2014,116827
01-01-2015,116349.7
01-02-2015,116253.2
01-03-2015,116116.8
01-04-2015,117341.6
01-05-2015,117173
01-06-2015,117342.7
01-07-2015,117145.5
01-08-2015,117166.2
01-09-2015,117748.2
01-10-2015,117816
01-11-2015,117801
01-12-2015,117707
01-01-2016,117607.6
01-02-2016,117514
01-03-2016,117401.3
01-04-2016,118252
01-05-2016,118369
01-06-2016,118215
01-07-2016,118466.6
01-08-2016,118294.3
01-09-2016,119025.9
01-10-2016,118795.9
01-11-2016,118654.2
01-12-2016,118478.4
01-01-2017,118799
01-02-2017,119038
01-03-2017,118562
01-04-2017,119110
01-05-2017,119203
01-06-2017,118385
01-07-2017,118490
01-08-2017,119118
01-09-2017,119646
01-10-2017,120081
01-11-2017,120210
01-12-2017,120263
01-01-2018,120269
01-02-2018,119795
01-03-2018,119870
01-04-2018,121081
01-05-2018,121315
01-06-2018,121325
01-07-2018,120815
01-08-2018,121307
01-09-2018,121940
01-10-2018,122378
01-11-2018,122474
01-12-2018,122556
01-01-2019,122429
01-02-2019,122190
01-03-2019,122321
01-04-2019,122515
01-05-2019,122509
01-06-2019,122335
01-07-2019,122333
01-08-2019,122739
01-09-2019,123133
01-10-2019,123820
01-11-2019,123827
01-12-2019,124208
01-01-2020,124264
01-02-2020,123949
01-03-2020,124960
01-04-2020,126050
01-05-2020,127045
01-06-2020,127245
01-07-2020,127279
01-08-2020,127333
01-09-2020,125497
01-10-2020,125696
01-11-2020,125806
01-12-2020,125913
01-01-2021,125983
01-02-2021,125855
01-03-2021,125993
01-04-2021,125910
01-05-2021,126217
01-06-2021,126338
01-07-2021,126365
01-08-2021,126933
01-09-2021,127445
01-10-2021,127386
01-11-2021,127357
01-12-2021,127549
01-01-2022,127629
01-02-2022,127683
01-03-2022,127410
01-04-2022,127832
01-05-2022,128027
01-06-2022,128111
01-07-2022,128138
01-08-2022,128117
01-09-2022,128667
01-10-2022,129236
01-11-2022,129341
01-12-2022,129612
