DATE,PCU325510325510
1987-01-01,106.3
1987-02-01,106.3
1987-03-01,106.5
1987-04-01,106.8
1987-05-01,106.9
1987-06-01,107.1
1987-07-01,107.3
1987-08-01,107.8
1987-09-01,107.8
1987-10-01,107.9
1987-11-01,107.7
1987-12-01,108.4
1988-01-01,109.0
1988-02-01,109.4
1988-03-01,110.1
1988-04-01,110.5
1988-05-01,110.8
1988-06-01,111.4
1988-07-01,112.4
1988-08-01,112.7
1988-09-01,112.9
1988-10-01,113.3
1988-11-01,114.2
1988-12-01,114.4
1989-01-01,116.0
1989-02-01,117.0
1989-03-01,117.5
1989-04-01,118.3
1989-05-01,118.3
1989-06-01,119.5
1989-07-01,120.4
1989-08-01,120.8
1989-09-01,121.1
1989-10-01,121.3
1989-11-01,121.7
1989-12-01,122.3
1990-01-01,122.5
1990-02-01,123.4
1990-03-01,123.6
1990-04-01,124.1
1990-05-01,124.5
1990-06-01,124.7
1990-07-01,125.1
1990-08-01,125.4
1990-09-01,125.5
1990-10-01,126.0
1990-11-01,127.0
1990-12-01,127.5
1991-01-01,128.8
1991-02-01,129.4
1991-03-01,130.1
1991-04-01,130.5
1991-05-01,130.5
1991-06-01,130.5
1991-07-01,130.5
1991-08-01,130.3
1991-09-01,130.5
1991-10-01,130.7
1991-11-01,131.1
1991-12-01,131.0
1992-01-01,131.1
1992-02-01,131.4
1992-03-01,132.1
1992-04-01,132.4
1992-05-01,132.5
1992-06-01,132.5
1992-07-01,132.8
1992-08-01,132.9
1992-09-01,132.6
1992-10-01,132.6
1992-11-01,132.5
1992-12-01,132.6
1993-01-01,132.8
1993-02-01,132.9
1993-03-01,132.9
1993-04-01,133.5
1993-05-01,133.7
1993-06-01,133.8
1993-07-01,133.7
1993-08-01,133.7
1993-09-01,133.7
1993-10-01,133.7
1993-11-01,134.2
1993-12-01,134.3
1994-01-01,134.6
1994-02-01,135.3
1994-03-01,135.4
1994-04-01,135.4
1994-05-01,135.6
1994-06-01,136.0
1994-07-01,135.9
1994-08-01,135.9
1994-09-01,136.2
1994-10-01,136.5
1994-11-01,137.1
1994-12-01,137.8
1995-01-01,139.5
1995-02-01,140.7
1995-03-01,141.7
1995-04-01,143.0
1995-05-01,143.2
1995-06-01,143.5
1995-07-01,143.8
1995-08-01,144.2
1995-09-01,144.3
1995-10-01,144.5
1995-11-01,144.6
1995-12-01,144.8
1996-01-01,145.2
1996-02-01,145.1
1996-03-01,146.2
1996-04-01,146.3
1996-05-01,146.3
1996-06-01,146.8
1996-07-01,146.9
1996-08-01,148.9
1996-09-01,148.9
1996-10-01,148.9
1996-11-01,149.3
1996-12-01,150.1
1997-01-01,150.2
1997-02-01,151.1
1997-03-01,151.5
1997-04-01,152.2
1997-05-01,152.3
1997-06-01,152.4
1997-07-01,152.5
1997-08-01,152.5
1997-09-01,152.5
1997-10-01,152.5
1997-11-01,152.7
1997-12-01,152.8
1998-01-01,152.8
1998-02-01,153.5
1998-03-01,154.6
1998-04-01,154.8
1998-05-01,155.0
1998-06-01,155.1
1998-07-01,155.2
1998-08-01,155.0
1998-09-01,155.4
1998-10-01,155.5
1998-11-01,155.9
1998-12-01,155.7
1999-01-01,156.6
1999-02-01,157.2
1999-03-01,157.0
1999-04-01,157.4
1999-05-01,157.5
1999-06-01,157.5
1999-07-01,157.5
1999-08-01,157.4
1999-09-01,157.4
1999-10-01,157.3
1999-11-01,157.4
1999-12-01,157.5
2000-01-01,159.6
2000-02-01,160.1
2000-03-01,160.1
2000-04-01,160.5
2000-05-01,160.6
2000-06-01,160.5
2000-07-01,160.6
2000-08-01,160.1
2000-09-01,160.5
2000-10-01,160.7
2000-11-01,161.0
2000-12-01,161.5
2001-01-01,162.2
2001-02-01,163.5
2001-03-01,163.6
2001-04-01,164.0
2001-05-01,163.8
2001-06-01,164.1
2001-07-01,164.4
2001-08-01,164.3
2001-09-01,164.4
2001-10-01,163.7
2001-11-01,164.2
2001-12-01,164.2
2002-01-01,165.2
2002-02-01,165.1
2002-03-01,165.5
2002-04-01,166.0
2002-05-01,165.4
2002-06-01,166.0
2002-07-01,165.5
2002-08-01,165.9
2002-09-01,166.3
2002-10-01,166.2
2002-11-01,166.7
2002-12-01,166.0
2003-01-01,166.6
2003-02-01,167.2
2003-03-01,167.5
2003-04-01,168.6
2003-05-01,168.9
2003-06-01,169.0
2003-07-01,169.8
2003-08-01,170.0
2003-09-01,169.9
2003-10-01,170.0
2003-11-01,170.7
2003-12-01,170.7
2004-01-01,171.6
2004-02-01,171.5
2004-03-01,173.2
2004-04-01,173.4
2004-05-01,173.2
2004-06-01,174.4
2004-07-01,174.8
2004-08-01,175.3
2004-09-01,175.8
